['/p/BuJaM5pFEVg/'],"6,010","1,020",-1,"['#ContestAlert', '#UnJumble', '#HINT', '#GiveAway', '#INC', '#Congress', '#PrizeMoney']"
['/p/BuJKqfvF1OW/'],"4,143",29,16.1k,"['#InternationalMotherLanguageDay', '#MotherLanguageDay', '#MotherLanguage', '#Language', '#Diversity', '#India']"
['/p/BuIoMXRFVxv/'],"20,709","1,163",372k,['#PulwamaAttack']
['/p/BuH-tnPFl2x/'],"4,333",43,-1,"['#SaudiArabia', '#PulwamaAttack', '#rafalescam']"
['/p/BuHBopjlnES/'],20.6k,282,-1,"['#Pulwama', '#PulwamaAttack', '#CRPFJawans']"
['/p/Bt6QHouleGN/'],36.8k,489,-1,"['#Pulwama', '#CRPFJawans', '#wesupportnamo']"
['/p/Bt5BiIBFUih/'],11.8k,118,-1,[]
['/p/Bt2b0LnlC5s/'],"9,733",192,-1,"['#Fast', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP']"
['/p/Bt2btCCl1Qv/'],17.2k,695,-1,"['#Chowkidar', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP']"
['/p/Bt2beIylx2Z/'],"9,089",122,-1,"['#Silencer', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP']"
['/p/Bt2bUP_l6Qz/'],12.7k,264,-1,"['#Namesake', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP', '#TereNaam']"
['/p/Bt2bFrRlGG8/'],"9,797",118,-1,"['#Player', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP', '#fuckingdick']"
['/p/Bt2a-AMlx9v/'],"8,252",141,-1,"['#Tulsi', '#LoveNotHate', '#HappyValentinesDay', '#CardsForBJP']"
['/p/Bt0m_2yFexE/'],11.6k,304,-1,"['#ChowkidarChorHai', '#NoMo', '#tag', '#mabhichowkidarhu']"
['/p/BtyEGP8lTlD/'],"25,967",763,156k,"['#BJP', '#Hug', '#HugDay', '#hago']"
['/p/BtxtAERlEDb/'],16.1k,309,-1,"['#BreakingNews', '#Modi', '#RafaleDeal', '#AnilAmbani', '#corruption', '#CorruptModi', '#ChowkidarChorHai', '#NoMo']"
['/p/Btvq0YRFQlL/'],29.3k,347,-1,"['#love', '#StrongerTogether', '#LoveOverHate', '#India', '#Lucknow', '#UP', '#Congress', '#INC', '#NoMo', '#jhuta_dikhawa😂😂😂😂']"
['/p/BtvoHwTlNl2/'],"13,725",682,59.1k,[]
